"통계분류(1)",통계분류(2),2017,2017,2017,2017,2017,2017,2017
"통계분류(1)",통계분류(2),항목,항목,항목,항목,항목,항목,항목
"통계분류(1)",통계분류(2),사례수,여가시간,여가시간,독서시간,독서시간,여가시간 중 독서시간이 차지하는 비율,여가시간 중 독서시간이 차지하는 비율
"통계분류(1)",통계분류(2),소계,평일 평균,주말/공휴일 평균,평일 평균,주말/공휴일 평균,평일 평균,주말/공휴일 평균
"전체",소계,6000,197.9,321.8,23.4,27.1,11.8,8.4
"성별",남자,2988,185.9,324.6,22.8,29.1,12.3,9
"성별",여자,3012,209.8,319.1,24.1,25.2,11.5,7.9
"연령별",19~29세,1070,186,346.9,27.7,33.8,14.9,9.7
"연령별",30대,1071,163.3,292.5,22.3,26.9,13.7,9.2
"연령별",40대,1218,170.7,297.4,20.4,22.8,12,7.7
"연령별",50대,1190,183.9,309,20.7,22.6,11.3,7.3
"연령별",60세 이상,1451,266.4,356.2,25.9,29.9,9.7,8.4
"학력별",중졸 이하,1002,279.6,368.1,23.6,28.6,8.4,7.8
"학력별",고졸,2120,187.2,301,19.7,19.3,10.5,6.4
"학력별",대재이상,2878,177.3,321.1,26.2,32.4,14.8,10.1
"연간 일반도서 독서량",없음,2408,182.7,303.9,1.5,2.4,0.8,0.8
"연간 일반도서 독서량",1~5권,1433,186.7,318.3,23.4,28,12.5,8.8
"연간 일반도서 독서량",6~10권,883,214.4,336.1,50,49.2,23.3,14.6
"연간 일반도서 독서량",11~15권,239,232.7,332.5,48,51.2,20.6,15.4
"연간 일반도서 독서량",16~20권,365,218.7,332.8,39.3,43.1,18,13
"연간 일반도서 독서량",21권 이상,672,231,365.3,49.9,67.9,21.6,18.6
