"통계분류(1)",통계분류(2),2021,2021
"통계분류(1)",통계분류(2),전체,전체
"통계분류(1)",통계분류(2),평일,휴일
"통계분류(1)",통계분류(2),당년,당년
"전체",소계,12.4,15.9
"성별",남성,12.4,17.3
"성별",여성,12.4,14.5
"연령별",19~29세,17.5,26.7
"연령별",30~39세,15.2,22.7
"연령별",40~49세,12.1,17.2
"연령별",50~59세,10.3,12.3
"연령별",60세 이상,9.5,7.4
"학력별",중졸 이하,4,2.5
"학력별",고졸/고퇴,9.8,10.6
"학력별",대재 이상,16.9,23.7
"직업별",관리/전문/사무직,16.2,27.4
"직업별",판매/서비스직,10.1,14.3
"직업별",생산직,6.3,8.2
"직업별",자영업,9.6,9.3
"직업별",학생,26.5,34.7
"직업별",전업주부,11.9,9.8
"직업별",은퇴/무직/기타,18.4,16.6
"가구소득별",200만원 미만,7.1,5.6
"가구소득별",200-300만원 미만,9.8,11
"가구소득별",300-400만원 미만,10.7,14.1
"가구소득별",400-500만원 미만,14,18.3
"가구소득별",500만 원 이상,16.6,23.1
