FLAG_NM,FLAG_VALUE,HLDY_AT,BOOK_TY_NM,EXAMIN_CO,NON_READ_RT,THIRTY_MNT_BELO_READ_RT,ONE_TIME_BELO_READ_RT,TWO_TIME_BELO_READ_RT,THREE_TIME_BELO_READ_RT,FOUR_TIME_BELO_READ_RT,FIVE_TIME_BELO_READ_RT,FIVE_TIME_ABOVE_READ_RT,AVRG_READ_MNT_VALUE
지역,서울,N,종이책,1137,61.6,13.3,12.9,9.8,2.1,0.2,0,0,15.2
지역,부산,N,종이책,392,81.1,5.9,9,3.7,0.2,0,0,0,6.3
지역,대구,N,종이책,279,45.8,15.6,26.6,12,0,0,0,0,17.8
지역,인천,N,종이책,341,75,7.6,8.2,8.9,0.3,0,0,0,10.3
지역,광주,N,종이책,168,68.3,8.1,14.7,8.2,0.7,0,0,0,11.9
지역,대전,N,종이책,171,75.8,8.1,11.2,3.9,1,0,0,0,8.8
지역,울산,N,종이책,128,72.3,2.4,13.7,11.2,0.5,0,0,0,12.6
지역,세종,N,종이책,38,66.1,16.6,10.8,5.7,0.8,0,0,0,10.6
지역,경기,N,종이책,1543,63,7.5,15.1,12.8,1.3,0.3,0,0,16
지역,강원,N,종이책,177,89.5,0.7,6.4,3.2,0.2,0,0,0,4.4
지역,충북,N,종이책,189,85.7,4.5,4.1,5,0.7,0,0,0,5.9
지역,충남,N,종이책,255,75.3,8.6,8.3,7.5,0.3,0,0,0,8.9
지역,전북,N,종이책,206,90.2,0,2.4,7.3,0,0,0,0,5.1
지역,전남,N,종이책,204,91.7,6.2,1.4,0.6,0,0,0,0,1.5
지역,경북,N,종이책,310,59.9,6.5,20.9,10.1,2.6,0,0,0,17.4
지역,경남,N,종이책,383,80.2,3.7,9.6,6.4,0.2,0,0,0,8
지역,제주,N,종이책,76,57.9,9,12.7,13.5,1.2,4.5,0.6,0.5,27.8
지역,서울,N,전자책,1137,81.7,4.7,5.5,7.3,0.9,0,0,0,8
지역,부산,N,전자책,392,86.9,3.6,5.9,3.5,0,0,0,0,4.6
지역,대구,N,전자책,279,83.5,3.1,10.4,2.4,0.3,0.3,0,0,6.2
지역,인천,N,전자책,341,83.2,6.3,4.7,5.3,0.5,0,0,0,6.5
지역,광주,N,전자책,168,81.7,3.4,8.6,6.3,0,0,0,0,7.4
지역,대전,N,전자책,171,81.8,6.8,9,2.4,0,0,0,0,5.5
지역,울산,N,전자책,128,80.1,6,10.1,3.8,0,0,0,0,6.7
지역,세종,N,전자책,38,73.9,11.8,14.3,0,0,0,0,0,6.4
지역,경기,N,전자책,1543,82.3,2.3,4.5,10.4,0.4,0.1,0,0,8.8
지역,강원,N,전자책,177,91.4,0.5,2.7,4.7,0.7,0,0,0,4.6
지역,충북,N,전자책,189,88.3,2.9,6.2,2.6,0,0,0,0,4.3
지역,충남,N,전자책,255,86.5,4.4,7.6,1.5,0,0,0,0,4.1
지역,전북,N,전자책,206,98.1,0,1.6,0.4,0,0,0,0,0.7
지역,전남,N,전자책,204,94,3.7,2.3,0,0,0,0,0,1.1
지역,경북,N,전자책,310,88.5,1,4.9,4.1,1.2,0.2,0,0,6.1
지역,경남,N,전자책,383,86.3,2.7,4.7,6.1,0.3,0,0,0,6.5
지역,제주,N,전자책,76,89.7,1.9,3.7,2.7,1.3,0.6,0,0,5.9
지역,서울,N,오디오북,1137,96,0.7,1.8,1.2,0.3,0,0,0,1.8
지역,부산,N,오디오북,392,98,0.5,1.5,0,0,0,0,0,0.6
지역,대구,N,오디오북,279,98.4,0.7,0.9,0,0,0,0,0,0.3
지역,인천,N,오디오북,341,96.4,0.5,1.7,1.2,0.3,0,0,0,1.8
지역,광주,N,오디오북,168,96.1,1.1,1.7,1.1,0,0,0,0,1.5
지역,대전,N,오디오북,171,99.7,0,0.3,0,0,0,0,0,0.1
지역,울산,N,오디오북,128,82.7,6.1,10.3,0.9,0,0,0,0,5.1
지역,세종,N,오디오북,38,100,0,0,0,0,0,0,0,0
지역,경기,N,오디오북,1543,94,0.5,3.3,2.1,0.1,0,0,0,2.6
지역,강원,N,오디오북,177,98.3,0,0.9,0.2,0.5,0,0,0,1.1
지역,충북,N,오디오북,189,100,0,0,0,0,0,0,0,0
지역,충남,N,오디오북,255,100,0,0,0,0,0,0,0,0
지역,전북,N,오디오북,206,100,0,0,0,0,0,0,0,0
지역,전남,N,오디오북,204,99.4,0.6,0,0,0,0,0,0,0.1
지역,경북,N,오디오북,310,98.8,0.3,0.5,0.4,0,0,0,0,0.5
지역,경남,N,오디오북,383,98.4,0.3,0.6,0.7,0,0,0,0,0.7
지역,제주,N,오디오북,76,96.5,1.2,1.5,0.9,0,0,0,0,1.2
지역,서울,Y,종이책,1137,64.9,10.3,8.7,13,2.6,0.5,0,0,16.6
지역,부산,Y,종이책,392,71.2,6.8,8.2,13.4,0.5,0,0,0,12.9
지역,대구,Y,종이책,279,57.2,11.5,23.8,6.8,0.7,0,0,0,14.4
지역,인천,Y,종이책,341,73.2,3.9,8.8,11.3,2.7,0,0,0,14.9
지역,광주,Y,종이책,168,62.4,3.7,9.4,14.3,10.2,0,0,0,25.9
지역,대전,Y,종이책,171,74.3,6.2,8,9.1,2.4,0,0,0,12.2
지역,울산,Y,종이책,128,71.6,0.8,9.7,15.7,2.3,0,0,0,16
지역,세종,Y,종이책,38,74.9,9.8,8.8,6.5,0,0,0,0,8.4
지역,경기,Y,종이책,1543,62.5,7.2,12,16,1.9,0.1,0.3,0,17.9
지역,강원,Y,종이책,177,89.5,0.5,4.5,3.2,2.4,0,0,0,6.3
지역,충북,Y,종이책,189,80.9,2.9,5,7.1,4.1,0,0,0,11.6
지역,충남,Y,종이책,255,70.9,6.6,10.9,10,1.5,0,0,0,13.2
지역,전북,Y,종이책,206,77.7,0.3,0.9,9.8,10.7,0.7,0,0,20.4
지역,전남,Y,종이책,204,85.6,5.1,4.9,4.1,0.3,0,0,0,5.1
지역,경북,Y,종이책,310,62,3.5,18.6,12.1,3.5,0,0.2,0,19.1
지역,경남,Y,종이책,383,73.1,1.9,10.8,12.9,0.7,0.2,0,0.3,14.9
지역,제주,Y,종이책,76,58.2,9.2,11.2,13.7,3.3,3.5,0.6,0.5,28.1
지역,서울,Y,전자책,1137,80.2,2.2,4.3,8.1,4.8,0.4,0,0,13.7
